iter	RMSE	Tweedie:variance_power=1.3046252177988344
124	3.544656392	8.852970588
125	3.543026815	8.85025928
126	3.54150159	8.847686614
127	3.539993787	8.845091528
128	3.538441422	8.842442539
129	3.536859197	8.839918669
130	3.535258877	8.83737097
131	3.53371332	8.834848905
132	3.532346173	8.832554855
133	3.530797572	8.829902579
134	3.529326257	8.827504903
135	3.527944245	8.8251999
136	3.526369799	8.822358291
137	3.52495827	8.820109903
138	3.523478313	8.817669212
139	3.522139311	8.815621031
140	3.520633633	8.812981465
141	3.519154851	8.810426538
142	3.517673079	8.807999218
143	3.516232478	8.805561048
144	3.514803776	8.803257634
145	3.513390108	8.800961053
146	3.511843076	8.798220562
147	3.510376355	8.795862454
148	3.508905745	8.79348189
149	3.50747528	8.791051551
150	3.506202908	8.789074305
151	3.504867858	8.786973844
152	3.503452349	8.784599829
153	3.502001149	8.782224279
154	3.50072553	8.780358391
155	3.499363956	8.778303829
156	3.498045226	8.77629348
157	3.496661767	8.774226509
158	3.495252779	8.771988638
159	3.493961149	8.77003532
160	3.492577303	8.767774485
161	3.491133689	8.76535254
162	3.489792925	8.763329219
163	3.488487939	8.761371212
164	3.487089887	8.759073934
165	3.485869974	8.757212986
166	3.48460116	8.755079455
167	3.483395559	8.753327091
168	3.482125867	8.751385996
169	3.480930226	8.749670299
170	3.47975699	8.747956512
171	3.47841811	8.745907802
172	3.477185341	8.744106802
173	3.475991157	8.742392959
174	3.474732529	8.740497322
175	3.473535965	8.738602758
176	3.472333535	8.73684831
177	3.471086852	8.73489877
178	3.469832966	8.732971312
179	3.468701422	8.731368422
180	3.467588608	8.729783992
181	3.466391641	8.728006089
182	3.465203335	8.726234477
183	3.463970396	8.72452552
184	3.462855606	8.723019451
185	3.461682095	8.72124953
186	3.460519038	8.719469755
187	3.459419133	8.717876922
188	3.458206214	8.716135837
189	3.456954763	8.714262555
190	3.455810899	8.712627601
191	3.454668305	8.710995888
192	3.453539229	8.709455314
193	3.452494873	8.708068528
194	3.451369483	8.706572339
195	3.450240726	8.705151053
196	3.44915882	8.703805232
197	3.448018555	8.702213676
198	3.44696	8.700810962
199	3.445864348	8.699335602
200	3.444816349	8.697891201
201	3.443761871	8.696524339
202	3.44274429	8.69530112
203	3.441734372	8.693920518
204	3.440642268	8.692337062
205	3.439549169	8.690751848
206	3.438590795	8.689445207
207	3.437510768	8.687884434
208	3.436418213	8.686257563
209	3.43537835	8.684772513
210	3.434248537	8.68305974
211	3.433145716	8.681548058
212	3.432170694	8.68023119
213	3.43124796	8.679115939
214	3.430199612	8.677666846
215	3.429231143	8.67642979
216	3.428253417	8.675062206
217	3.427236752	8.673848468
218	3.426274623	8.672568111
219	3.425285277	8.671391897
220	3.424259523	8.670033945
221	3.423286712	8.668858694
222	3.422296707	8.667707029
223	3.421355133	8.666448071
224	3.42040207	8.665184454
225	3.419432912	8.663788382
226	3.418488616	8.662723183
227	3.417543911	8.661522946
228	3.416594997	8.660153102
229	3.415627496	8.658811343
230	3.41463389	8.657488937
231	3.41362632	8.656172745
232	3.412721974	8.655209912
233	3.411780078	8.654119217
234	3.410821846	8.652918946
235	3.409946814	8.652044065
236	3.408966298	8.650731017
237	3.408009227	8.649528577
238	3.407124502	8.648553602
239	3.406243557	8.647457762
240	3.405372379	8.646469839
241	3.40454852	8.645743937
242	3.403661224	8.644670211
243	3.402784504	8.643640209
244	3.401935412	8.64258603
245	3.401072214	8.641698179
246	3.400147751	8.640562512
247	3.399350839	8.639564894
248	3.398468331	8.638375334
249	3.397655787	8.637300056
250	3.396831769	8.636290263
251	3.395946993	8.635176845
252	3.395117069	8.634359127
253	3.394260952	8.633306317
254	3.393475587	8.632351833
255	3.392663182	8.631350313
256	3.391887447	8.630522218
257	3.391073298	8.629577636
258	3.390275584	8.628766728
259	3.38943832	8.627683018
260	3.38855181	8.626376094
261	3.387633706	8.625076418
262	3.386721361	8.623809029
263	3.385944331	8.622897716
264	3.385090992	8.62191285
265	3.384237711	8.620903232
266	3.383390713	8.619763555
267	3.382636004	8.618771331
268	3.38187463	8.617988362
269	3.381164455	8.617432921
270	3.380345686	8.616466136
271	3.379525934	8.615446803
272	3.378727462	8.614388533
273	3.377974622	8.613576596
274	3.377237584	8.612914425
275	3.376484977	8.611964833
276	3.375726784	8.611205297
277	3.374998556	8.610371495
278	3.374246755	8.609496508
279	3.373491083	8.608672491
280	3.372761023	8.607874273
281	3.372047473	8.607221753
282	3.371340789	8.606472609
283	3.370589511	8.605483766
284	3.369840441	8.604577566
285	3.369224156	8.603913727
286	3.368504659	8.603081562
287	3.367761082	8.602196792
288	3.367079732	8.601492248
289	3.36638067	8.600781523
290	3.365639462	8.599838892
291	3.36493037	8.599027111
292	3.364245809	8.598208231
293	3.363526406	8.597430528
294	3.362855083	8.596649764
295	3.362177132	8.595884746
296	3.36149442	8.595051659
297	3.360791918	8.594275869
298	3.36006468	8.593364801
299	3.359370163	8.592504332
300	3.358764661	8.591997215
301	3.358034558	8.591141899
302	3.357279183	8.590269882
303	3.356626212	8.5896966
304	3.355928892	8.588818853
305	3.35521073	8.587939262
306	3.35457733	8.587326503
307	3.35390443	8.58646687
308	3.353261158	8.585777992
309	3.35257364	8.584951237
310	3.351837291	8.583997674
311	3.351223809	8.583388588
312	3.350602831	8.582759738
313	3.349992549	8.582155163
314	3.349336588	8.581403084
315	3.348752489	8.580883368
316	3.348112714	8.580225152
317	3.347512752	8.579633083
318	3.346878523	8.578871641
319	3.346177573	8.577930538
320	3.345520434	8.577132911
321	3.344925779	8.576553017
322	3.344295586	8.575902913
323	3.343635662	8.575142122
324	3.343043283	8.574494213
325	3.342436964	8.573926573
326	3.341876905	8.573510224
327	3.341302606	8.57304075
328	3.340728004	8.572483627
329	3.3401137	8.571808981
330	3.339575877	8.571357921
331	3.338967394	8.570668417
332	3.338379409	8.569983186
333	3.33771555	8.569165188
334	3.337186817	8.568795536
335	3.336621339	8.568280702
336	3.336127488	8.567819235
337	3.335603156	8.567224538
338	3.335007143	8.566542379
339	3.334325293	8.565676091
340	3.333671197	8.564892071
341	3.333053293	8.564165508
342	3.332451103	8.563500289
343	3.331874761	8.562880953
344	3.331280374	8.562218
345	3.330710251	8.561550785
346	3.330137145	8.560924984
347	3.329533099	8.560108682
348	3.328921732	8.559384602
349	3.328358259	8.558749079
350	3.32780213	8.558151166
351	3.327234518	8.557570737
352	3.326680907	8.556934661
353	3.326220461	8.556684862
354	3.325660688	8.556045837
355	3.325205114	8.555800922
356	3.324669331	8.55528633
357	3.324168891	8.554735222
358	3.323604575	8.554045307
359	3.323078799	8.553498087
360	3.322566416	8.55301013
361	3.321969274	8.552128316
362	3.32147109	8.551633328
363	3.320980613	8.551127268
364	3.320485314	8.550658109
365	3.319965125	8.550134384
366	3.319465676	8.549619199
367	3.318961165	8.549104715
368	3.318409635	8.548456287
369	3.317914846	8.54798146
370	3.317435576	8.547608113
371	3.316932963	8.547084228
372	3.316394659	8.546389952
373	3.315909472	8.545910843
374	3.315378873	8.545247966
375	3.314895365	8.544646245
376	3.314414099	8.544185941
377	3.313996469	8.543860931
378	3.313556718	8.543502485
379	3.312984819	8.542764284
380	3.312582205	8.542570266
381	3.312100695	8.542072296
382	3.3115869	8.541540667
383	3.311106167	8.54109585
384	3.310631796	8.540665874
385	3.3101592	8.540136713
386	3.309580031	8.539422106
387	3.309083892	8.53889559
388	3.308643148	8.538500221
389	3.308149991	8.537894721
390	3.307671238	8.537316879
391	3.307181987	8.536709817
392	3.306724791	8.536261509
393	3.306298006	8.535777158
394	3.30582966	8.535288997
395	3.305338344	8.534756521
396	3.304844911	8.534132489
397	3.304347923	8.5335281
398	3.303880323	8.533005324
399	3.303480699	8.532626937
400	3.30296332	8.531984482
401	3.30253738	8.531622673
402	3.302130104	8.531187141
403	3.301637858	8.530590059
404	3.301184221	8.530083652
405	3.300750478	8.529563135
406	3.300262274	8.529045736
407	3.299839171	8.528611152
408	3.299420077	8.528213433
409	3.299038733	8.527977206
410	3.298616466	8.527523891
411	3.298181882	8.527042264
412	3.297790245	8.526670673
413	3.297318449	8.526093709
414	3.296838163	8.525478022
415	3.296356774	8.524911345
416	3.295999632	8.524648157
417	3.29555025	8.524070332
418	3.29512448	8.523657969
419	3.294578813	8.52277933
420	3.294155917	8.522308677
421	3.293792159	8.522010373
422	3.29339283	8.52161139
423	3.293000865	8.521275694
424	3.29262145	8.52082857
425	3.292185094	8.520342306
426	3.291854994	8.520115714
427	3.291494375	8.519886047
428	3.291055685	8.519460151
429	3.29060786	8.518846061
430	3.290204358	8.518418172
431	3.28972409	8.517843317
432	3.289340791	8.51749488
433	3.288912423	8.517005771
434	3.28850502	8.516576895
435	3.288178852	8.516310429
436	3.287812668	8.515939077
437	3.287418348	8.51552583
438	3.287021017	8.515180075
439	3.286685528	8.514993219
440	3.286296069	8.514640223
441	3.285916131	8.514201283
442	3.285572891	8.513871489
443	3.285172667	8.513372132
444	3.284695009	8.512631241
445	3.284295696	8.5121411
446	3.283920754	8.511756246
447	3.283599327	8.511475583
448	3.283208484	8.511059583
449	3.282880791	8.510798337
450	3.282485925	8.510379909
451	3.282069344	8.509885857
452	3.281709357	8.509514732
453	3.281364963	8.509143347
454	3.281030486	8.508822303
455	3.280686645	8.508444061
456	3.280300855	8.507935947
457	3.279915304	8.507450188
458	3.279570122	8.507101739
459	3.27929571	8.507008695
460	3.278971707	8.506750103
461	3.278538795	8.506152339
462	3.278161399	8.505735558
463	3.277808642	8.505440577
464	3.277485824	8.50517075
465	3.277139344	8.50483813
466	3.27680164	8.504543004
467	3.276424244	8.504058824
468	3.276106189	8.503731444
469	3.275757209	8.503382329
470	3.275425041	8.503130663
471	3.275056479	8.502649903
472	3.274640357	8.502190907
473	3.274279054	8.501780094
474	3.273998974	8.501572482
475	3.273691756	8.501255182
476	3.273314575	8.500704607
477	3.272980777	8.500242409
478	3.272651145	8.499986514
479	3.272364089	8.499770062
480	3.271990511	8.499387009
481	3.271576722	8.498888245
482	3.271233443	8.498526359
483	3.270897637	8.498118493
484	3.270596372	8.497884714
485	3.270227047	8.497396202
486	3.269945663	8.497169852
487	3.269690001	8.497017882
488	3.269346944	8.496626959
489	3.269067602	8.496360708
490	3.268690898	8.495959097
491	3.268301749	8.49549631
492	3.268018582	8.495280692
493	3.267727701	8.494968792
494	3.267470903	8.49482458
495	3.267143645	8.494489852
496	3.266873245	8.494298079
497	3.266513716	8.493801279
498	3.266239986	8.493521843
499	3.265928121	8.493154791
500	3.265645788	8.492894066
501	3.265359072	8.492609973
502	3.264989506	8.492136465
503	3.264720287	8.491873581
504	3.264412707	8.491571937
505	3.264084537	8.491204826
506	3.263818424	8.491005031
507	3.263579309	8.490898061
508	3.263298943	8.490624352
509	3.263093116	8.490471377
510	3.262778552	8.490148896
511	3.262488087	8.489796897
512	3.262176872	8.489460342
513	3.261921276	8.489248795
514	3.261623508	8.488948812
515	3.261342584	8.488645423
516	3.261134316	8.488590978
517	3.26088905	8.488379084
518	3.260648757	8.488205582
519	3.260410432	8.487970117
520	3.260108589	8.487664249
521	3.259728876	8.487035194
522	3.259420335	8.486679364
523	3.259131982	8.486297331
524	3.258884551	8.486085942
525	3.258659924	8.485876222
526	3.258364556	8.485590447
527	3.258102698	8.485328605
528	3.25788335	8.485130306
529	3.257669019	8.485010586
530	3.257362226	8.484612177
531	3.257080655	8.48425681
532	3.256795259	8.483833694
533	3.256573692	8.483668161
534	3.256302596	8.483405994
535	3.256017581	8.483101042
536	3.25576037	8.482839378
537	3.255531237	8.482645287
538	3.25527195	8.482384253
539	3.255030128	8.482134072
540	3.254811582	8.481978372
541	3.254564384	8.481767454
542	3.254297231	8.481531079
543	3.254032811	8.481280592
544	3.253850989	8.481218173
545	3.253551219	8.48088773
546	3.253302381	8.480654751
547	3.25309711	8.480556786
548	3.252862913	8.480309833
549	3.252582665	8.479904777
550	3.252353755	8.479722585
551	3.252149889	8.479573023
552	3.251910694	8.479349258
553	3.251693911	8.479062136
554	3.2514454	8.478845287
555	3.251184564	8.478540848
556	3.250948327	8.478296062
557	3.250726956	8.478038427
558	3.250447718	8.477681138
559	3.250222942	8.477454007
560	3.249980247	8.477227757
561	3.249711439	8.476892436
562	3.249449578	8.476636619
563	3.249210698	8.47633808
564	3.248921913	8.475981927
565	3.248644087	8.475607649
566	3.248349635	8.475257868
567	3.248157878	8.475124389
568	3.247947034	8.474957077
569	3.247658723	8.474591069
570	3.247486828	8.474463659
571	3.247229682	8.474157919
572	3.247029894	8.474001952
573	3.246762986	8.473637356
574	3.246522367	8.473360307
575	3.246248504	8.472978406
576	3.246071091	8.472912776
577	3.245870212	8.472704784
578	3.245664795	8.472538779
579	3.24547797	8.472397585
580	3.245265495	8.472182131
581	3.245041661	8.471938314
582	3.244823999	8.471708319
583	3.244606522	8.4714884
584	3.244440976	8.471429321
585	3.244247164	8.471220207
586	3.243976899	8.470789201
587	3.243717582	8.47045123
588	3.243464473	8.47015186
589	3.243226215	8.469891882
590	3.243048795	8.46976047
591	3.24278432	8.469398086
592	3.242616852	8.469252576
593	3.242409653	8.469067205
594	3.242242452	8.468991677
595	3.242079532	8.468839622
596	3.24187637	8.468591822
597	3.24164634	8.468304362
598	3.241468694	8.468178084
599	3.241275649	8.468018692
600	3.241106099	8.467933509
601	3.240932902	8.467773137
602	3.240704849	8.467494204
603	3.240475166	8.467230553
604	3.240287637	8.466982217
605	3.240059433	8.466804934
606	3.239806726	8.466435937
607	3.239627957	8.466262415
608	3.239424546	8.466056069
609	3.23926791	8.465995681
610	3.239089338	8.465795182
611	3.238912496	8.465673649
612	3.238735456	8.465546353
613	3.238540012	8.465397209
614	3.23834656	8.465129182
615	3.23814707	8.464877492
616	3.237964896	8.46475622
617	3.237805834	8.464634605
618	3.237570394	8.464309097
619	3.237397986	8.464147218
620	3.237171269	8.463804997
621	3.236950817	8.463443652
622	3.236752909	8.463219105
623	3.236544315	8.462977915
624	3.236334315	8.462640306
625	3.236185148	8.462519203
626	3.235990079	8.462236323
627	3.235797983	8.462013941
628	3.235540921	8.46163049
629	3.235280075	8.461344802
630	3.235011646	8.460904113
631	3.234842376	8.46075332
632	3.234595013	8.460441834
633	3.234394264	8.460175399
634	3.23425093	8.460031676
635	3.234022695	8.459689895
636	3.23379467	8.459368427
637	3.233566411	8.459030166
638	3.233393227	8.458852703
639	3.233145888	8.458477365
640	3.232982833	8.458331002
641	3.232782495	8.45802907
642	3.232606273	8.457795987
643	3.232410821	8.457547154
644	3.232199991	8.457315272
645	3.232040357	8.457084836
646	3.231804339	8.456770162
647	3.231558148	8.456450479
648	3.231428949	8.456384224
649	3.231273548	8.456220072
650	3.231127811	8.456084527
651	3.230899842	8.45571995
652	3.230784464	8.455673827
653	3.23054767	8.45534001
654	3.230373911	8.455054628
655	3.230233986	8.454940982
656	3.230053736	8.454669432
657	3.229912641	8.454550253
658	3.229704336	8.454211649
659	3.229584699	8.454127134
660	3.229424269	8.453951281
661	3.229306462	8.453854624
662	3.22913844	8.45363468
663	3.228958442	8.45341368
664	3.22880018	8.453217657
665	3.228616939	8.453028798
666	3.228437809	8.452791303
667	3.228320971	8.452705329
668	3.228121407	8.452361161
669	3.227874319	8.451939601
670	3.22769114	8.451682548
671	3.227527608	8.451457271
672	3.227336379	8.451231647
673	3.227206042	8.451147191
674	3.227062726	8.450953825
675	3.226921819	8.450759932
676	3.226784504	8.450598842
677	3.226654619	8.450532911
678	3.226482859	8.450319945
679	3.226355563	8.450218628
680	3.226222505	8.45007986
681	3.226025084	8.449777779
682	3.225880974	8.449553761
683	3.2257373	8.449364564
684	3.225603597	8.449226562
685	3.225422722	8.449029608
686	3.225251464	8.448791371
687	3.225099885	8.448559309
688	3.224894533	8.44828777
689	3.22469618	8.448044089
690	3.224529875	8.447865279
691	3.224403942	8.447724263
692	3.224226376	8.447421726
693	3.224029256	8.447120524
694	3.223836322	8.446879948
695	3.223623781	8.446486781
696	3.223369148	8.446030114
697	3.22322838	8.44586246
698	3.223051606	8.445634689
699	3.222889577	8.445403697
700	3.222751828	8.445258259
701	3.222579779	8.445008015
702	3.222466123	8.444912969
703	3.222300553	8.444698964
704	3.222161796	8.444502908
705	3.222073381	8.444469962
706	3.221897275	8.444169352
707	3.221729226	8.443902189
708	3.221576304	8.443736291
709	3.221452451	8.443629855
710	3.221253128	8.443372127
711	3.221107558	8.443142013
712	3.220932211	8.442836901
713	3.220789234	8.442596291
714	3.22062306	8.442414055
715	3.220482928	8.442246555
716	3.220401711	8.442238102
717	3.220289299	8.442182203
718	3.220192704	8.442095265
719	3.219970811	8.441736382
720	3.219820575	8.441510282
721	3.219669621	8.441353962
722	3.219441756	8.440977287
723	3.219325048	8.440856474
724	3.219235196	8.440802767
725	3.219122881	8.440658262
726	3.218991218	8.440513118
727	3.218747211	8.44008916
728	3.218581872	8.439784535
729	3.218466288	8.439657985
730	3.218362034	8.439534076
731	3.21819791	8.439272372
732	3.218033404	8.439030611
733	3.217889402	8.438825364
734	3.217692972	8.438505382
735	3.217524228	8.43822036
736	3.217398983	8.438059141
737	3.217281032	8.43792391
738	3.217106666	8.437638555
739	3.216916945	8.437325177
740	3.216743567	8.437053529
741	3.216588857	8.436791694
742	3.216497595	8.436714292
743	3.216396951	8.436632013
744	3.216288412	8.436431409
745	3.216178315	8.43626756
746	3.216028099	8.436058699
747	3.215910399	8.435930651
748	3.215780315	8.43575756
749	3.215683203	8.435655587
750	3.215573565	8.435495499
751	3.215429554	8.435323916
752	3.215337632	8.435283302
753	3.215123882	8.43490538
754	3.21498078	8.434716873
755	3.214851478	8.43454039
756	3.214747349	8.434443564
757	3.214627554	8.434302943
758	3.214516478	8.434188253
759	3.214432014	8.434096536
760	3.214328541	8.433987526
761	3.214193692	8.433813652
762	3.214098918	8.43368173
763	3.213850041	8.433225401
764	3.213711795	8.43301993
765	3.213576522	8.432848556
766	3.21347683	8.43276955
767	3.213292707	8.432490329
768	3.213213004	8.432403045
769	3.213124313	8.43226254
770	3.212991661	8.432118639
771	3.212774022	8.431806424
772	3.212699834	8.431755219
773	3.21262026	8.43169338
774	3.212518905	8.431557441
775	3.212461966	8.431533602
776	3.212370369	8.431403694
777	3.21224222	8.431283167
778	3.212151006	8.431196989
779	3.212006552	8.430940997
780	3.211884279	8.4307968
781	3.211730799	8.430546802
782	3.211574419	8.430287986
783	3.211456308	8.430129834
784	3.211315802	8.429886901
785	3.211236149	8.429771894
786	3.211124	8.429582685
787	3.211008102	8.42943675
788	3.210932454	8.429372312
789	3.210838914	8.429200562
790	3.210774519	8.429148034
791	3.210678693	8.428978784
792	3.210573872	8.428867714
793	3.210492334	8.428748735
794	3.21032642	8.42848061
795	3.210231408	8.428350933
796	3.210138581	8.428263959
797	3.210073274	8.428197381
798	3.210001342	8.428060514
799	3.209856175	8.427844562
800	3.20969172	8.427624239
801	3.209521613	8.427332454
802	3.209424404	8.427182118
803	3.20933244	8.427068703
804	3.209206644	8.426894618
805	3.20908683	8.426578958
806	3.208974491	8.426449419
807	3.208821996	8.426174139
808	3.208764531	8.426149285
809	3.208691518	8.426070521
810	3.208557119	8.425822068
811	3.208424617	8.425614103
812	3.208315878	8.425450737
813	3.208213913	8.425313861
814	3.208132825	8.425241378
815	3.208081984	8.425238068
816	3.207949308	8.42500259
817	3.207822522	8.424842413
818	3.207704333	8.424610506
819	3.207590039	8.424416125
820	3.207491546	8.42420714
821	3.207370573	8.424000868
822	3.207297364	8.423891594
823	3.207227357	8.423829807
824	3.207170447	8.423792187
825	3.207052594	8.423611904
826	3.206889233	8.423287139
827	3.206744763	8.423009848
828	3.206649887	8.422885249
829	3.206558826	8.422783465
830	3.206480426	8.422658747
831	3.206391975	8.422565804
832	3.206305463	8.422453493
833	3.206256613	8.422428609
834	3.206130022	8.422153699
835	3.206075164	8.422093118
836	3.205920851	8.421782158
837	3.205860105	8.421724134
838	3.205762855	8.421578022
839	3.205622438	8.421406997
840	3.205472043	8.421074803
841	3.205389169	8.420907722
842	3.20525251	8.420685212
843	3.205169818	8.420530629
844	3.205064472	8.420369133
845	3.204991564	8.420269737
846	3.204831765	8.419955662
847	3.204768386	8.419919861
848	3.204698841	8.4198397
849	3.204548576	8.41954218
850	3.204341841	8.419113104
851	3.204260945	8.419011529
852	3.204136011	8.418809368
853	3.204064887	8.418661728
854	3.203947395	8.418497036
855	3.203846847	8.41836422
856	3.20377247	8.418215819
857	3.203685423	8.418051681
858	3.203592607	8.41791302
859	3.203529822	8.417853021
860	3.203412722	8.417652747
861	3.203235726	8.417341766
862	3.203137953	8.417181278
863	3.203068809	8.417091725
864	3.202992361	8.41697152
865	3.202890041	8.416799329
866	3.20279774	8.416662417
867	3.202748746	8.416605405
868	3.202635868	8.416394955
869	3.202481652	8.416053715
870	3.202418601	8.415961931
871	3.202301939	8.4157191
872	3.202270972	8.415689217
873	3.202155966	8.415474578
874	3.202072459	8.415353551
875	3.201941162	8.41507541
876	3.201880154	8.414935193
877	3.201817425	8.414863265
878	3.201709813	8.414694351
879	3.201575071	8.414483246
880	3.20142644	8.41420862
881	3.201297958	8.41399784
882	3.20117636	8.413707667
883	3.201077646	8.413569565
884	3.200868369	8.413142531
885	3.20074989	8.412853295
886	3.200586421	8.412502381
887	3.200477879	8.412366533
888	3.200346414	8.412026641
889	3.200254915	8.411873898
890	3.200188118	8.41179044
891	3.200050144	8.411526242
892	3.19995528	8.411367198
893	3.199920032	8.411354401
894	3.199776894	8.411056689
895	3.199717152	8.41099926
896	3.199637001	8.410903245
897	3.199601348	8.410859896
898	3.199478413	8.410626454
899	3.199300888	8.410232332
900	3.199173988	8.409961015
901	3.199074172	8.409785263
902	3.199015189	8.409720857
903	3.198927305	8.409597243
904	3.198807064	8.409430457
905	3.198732845	8.409324426
906	3.198621548	8.409064683
907	3.198524657	8.408890491
908	3.198439008	8.40869541
909	3.1983687	8.408632987
910	3.198331623	8.40857673
911	3.198207679	8.408351599
912	3.1981256	8.408233631
913	3.198055486	8.408126055
914	3.197973721	8.407980309
915	3.197843352	8.407750422
916	3.197734575	8.4075733
917	3.197649484	8.407434835
918	3.197530982	8.407218592
919	3.197383609	8.406969108
920	3.197270889	8.406747775
921	3.197242496	8.406720702
922	3.197098903	8.40645865
923	3.196980214	8.406207141
924	3.196920087	8.406118107
925	3.196841452	8.405967861
926	3.196727294	8.40576209
927	3.196676775	8.405683031
928	3.196631621	8.405619533
929	3.196566597	8.405525058
930	3.196488859	8.405369755
931	3.196461667	8.40534419
932	3.19636182	8.405152102
933	3.196249099	8.404949043
934	3.196144285	8.404766493
935	3.196076385	8.404682453
936	3.195983114	8.404530305
937	3.195905718	8.404308882
938	3.19582664	8.404131712
939	3.195724511	8.403927863
940	3.195619311	8.403746065
941	3.195481895	8.403433669
942	3.195335554	8.403129475
943	3.195297829	8.403056656
944	3.195241226	8.402960277
945	3.195149231	8.402811245
946	3.195030513	8.402615114
947	3.194913938	8.402357499
948	3.194794612	8.402158107
949	3.194752399	8.402062809
950	3.194680932	8.401906213
951	3.194617993	8.401797977
952	3.194593872	8.401774636
953	3.194567638	8.40176334
954	3.194448811	8.401602661
955	3.194284875	8.401269078
956	3.194218951	8.401131063
957	3.194136996	8.40095956
958	3.194090377	8.40089123
959	3.194041149	8.40081986
960	3.194008329	8.400781917
961	3.193986908	8.400740268
962	3.193927347	8.400644175
963	3.193810777	8.400433127
964	3.193640504	8.400058772
965	3.193518749	8.399761689
966	3.193475678	8.399713793
967	3.193426062	8.399628074
968	3.193338895	8.399511967
969	3.193254203	8.399352962
970	3.193171484	8.399173449
971	3.193146656	8.399151911
972	3.19304768	8.398920369
973	3.192913306	8.398578607
974	3.192764617	8.39829184
975	3.192730214	8.398271734
976	3.19264871	8.398171424
977	3.192597028	8.398083402
978	3.192531591	8.397946567
979	3.192496681	8.397885843
980	3.19237401	8.397591547
981	3.192268727	8.397411473
982	3.192207059	8.397319921
983	3.192159623	8.397219394
984	3.192047372	8.396980414
985	3.191992006	8.396866938
986	3.191929591	8.396738216
987	3.191853407	8.396622632
988	3.191766771	8.396517394
989	3.191685513	8.396373064
990	3.191591885	8.396168527
991	3.191521037	8.396021319
992	3.191459715	8.39591657
993	3.191345088	8.395657215
994	3.191194754	8.395296602
995	3.191154395	8.395213358
